time,lat,lon,zen,az,actual_mag
2026-05-18 22:00,33.426769,126.530349,30,315,17.97
2026-05-18 22:00,33.426769,126.530349,15,315,18.36
2026-05-18 22:00,33.426769,126.530349,0,315,18.52
2026-05-18 22:00,33.426769,126.530349,30,330,17.54
2026-05-18 22:00,33.426769,126.530349,15,330,18.39
2026-05-18 22:00,33.426769,126.530349,30,0,17.82
2026-05-18 22:00,33.426769,126.530349,15,0,18.44
2026-05-18 22:00,33.426769,126.530349,30,30,18.13
2026-05-18 22:00,33.426769,126.530349,15,30,18.51
2026-05-18 22:00,33.426769,126.530349,30,60,18.41
2026-05-18 22:00,33.426769,126.530349,15,60,18.64
2026-05-18 22:00,33.426769,126.530349,30,90,18.34
2026-05-18 22:00,33.426769,126.530349,15,90,18.7
2026-05-18 22:00,33.426769,126.530349,30,120,18.31
2026-05-18 22:00,33.426769,126.530349,15,120,18.73
2026-05-19 21:00,33.426769,126.530349,30,330,16.33
2026-05-19 21:00,33.426769,126.530349,15,330,16.54
2026-05-19 21:00,33.426769,126.530349,0,330,16.67
2026-05-19 21:00,33.426769,126.530349,30,0,16.19
2026-05-19 21:00,33.426769,126.530349,15,0,16.52
2026-05-19 21:00,33.426769,126.530349,30,30,16.32
2026-05-19 21:00,33.426769,126.530349,15,30,16.45
2026-05-19 21:00,33.426769,126.530349,30,60,16.54
2026-05-19 21:00,33.426769,126.530349,15,60,16.57
2026-05-19 21:00,33.426769,126.530349,30,90,16.65
2026-05-19 21:00,33.426769,126.530349,15,90,16.76
2026-05-19 21:00,33.426769,126.530349,30,120,16.82
2026-05-19 21:00,33.426769,126.530349,15,120,16.92
2026-05-22 21:04,33.426769,126.530349,60,270,17.09
2026-05-22 21:05,33.426769,126.530349,30,270,17.18
2026-05-22 21:06,33.426769,126.530349,0,270,17.47
2026-05-22 21:08,33.426769,126.530349,60,300,17.24
2026-05-22 21:09,33.426769,126.530349,30,300,17.24
2026-05-22 21:10,33.426769,126.530349,60,330,16.58
2026-05-22 21:11,33.426769,126.530349,30,330,17.41
2026-05-22 21:13,33.426769,126.530349,60,0,16.61
2026-05-22 21:13,33.426769,126.530349,30,0,17.44
2026-05-22 21:15,33.426769,126.530349,60,30,16.95
2026-05-22 21:15,33.426769,126.530349,30,30,17.35
2026-05-22 21:17,33.426769,126.530349,60,90,16.96
2026-05-22 21:17,33.426769,126.530349,30,90,17.36
2026-05-22 22:30,33.426769,126.530349,0,270,18.82
2026-05-22 22:31,33.426769,126.530349,60,270,18
2026-05-22 22:31,33.426769,126.530349,30,270,18.64
2026-05-22 22:32,33.426769,126.530349,60,300,17.23
2026-05-22 22:33,33.426769,126.530349,30,300,18.2
2026-05-22 22:35,33.426769,126.530349,60,330,17.03
2026-05-22 22:37,33.426769,126.530349,30,330,18.48
2026-05-22 22:46,33.426769,126.530349,60,90,17.68
2026-05-22 22:46,33.426769,126.530349,30,90,18.65
2026-05-31 22:18,33.54951,126.692041,60,0,17.78
2026-05-31 22:18,33.54951,126.692041,30,0,17.67
2026-05-31 22:19,33.54951,126.692041,0,0,17.8
2026-05-31 22:19,33.54951,126.692041,60,30,17.42
2026-05-31 22:20,33.54951,126.692041,30,30,17.61
2026-05-31 22:20,33.54951,126.692041,60,60,15.77
2026-05-31 22:22,33.54951,126.692041,30,60,16.57
2026-05-31 22:22,33.54951,126.692041,60,90,15.34
2026-05-31 22:24,33.54951,126.692041,30,90,16.02
2026-05-31 22:24,33.54951,126.692041,60,120,15.38
2026-05-31 22:24,33.54951,126.692041,30,120,16.28
2026-05-31 22:24,33.54951,126.692041,60,150,15.99
2026-05-31 22:25,33.54951,126.692041,30,150,16.77
2026-05-31 22:25,33.54951,126.692041,60,180,17.39
2026-05-31 22:26,33.54951,126.692041,30,180,17.42
2026-05-31 22:26,33.54951,126.692041,60,210,17.4
2026-05-31 22:26,33.54951,126.692041,30,210,17.43
2026-05-31 22:28,33.54951,126.692041,60,240,17.22
2026-05-31 22:28,33.54951,126.692041,30,240,17.5
2026-05-30 22:24,33.51474,126.577005,60,0,17.18
2026-05-30 22:25,33.51474,126.577005,30,0,16.8
2026-05-30 22:25,33.51474,126.577005,60,30,17.16
2026-05-30 22:26,33.51474,126.577005,30,30,16.86
2026-05-30 22:26,33.51474,126.577005,60,60,17.08
2026-05-30 22:27,33.51474,126.577005,30,60,17.02
2026-05-30 22:28,33.51474,126.577005,60,90,17.07
2026-05-30 22:29,33.51474,126.577005,30,90,15.81
2026-05-30 22:29,33.51474,126.577005,60,120,17.04
2026-05-30 22:30,33.51474,126.577005,30,120,15.22
2026-05-30 22:30,33.51474,126.577005,60,150,17.05
2026-05-30 22:31,33.51474,126.577005,30,150,15.05
2026-05-30 22:31,33.51474,126.577005,60,180,17.09
2026-05-30 22:32,33.51474,126.577005,30,180,15.01
2026-05-30 22:32,33.51474,126.577005,60,210,17.17
2026-05-30 22:33,33.51474,126.577005,30,210,14.66
2026-05-30 22:33,33.51474,126.577005,60,240,17.12
2026-05-30 22:34,33.51474,126.577005,30,240,14.18
2026-05-30 22:34,33.51474,126.577005,60,270,17.06
2026-05-30 22:35,33.51474,126.577005,30,270,15.2
2026-05-30 22:35,33.51474,126.577005,60,300,17.11
2026-05-30 22:36,33.51474,126.577005,30,300,15.79
2026-05-30 22:36,33.51474,126.577005,60,330,17.14
