row_no,time,actual_mag,pred_mag,actual_radiance,pred_radiance,residual,I_ml,I_cloud,I_art,I_bg,cloud_fraction,cloud_effect_fraction
1,2026-05-18 22:00,17.97,17.622590777886153,1.0317614479753257e-05,1.420832835669394e-05,-3.890713876940683e-06,0.0,2.1320923374026934e-06,1.1689016846054958e-05,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
2,2026-05-18 22:00,18.36,17.902049299576394,7.204092762539548e-06,1.0983976030150285e-05,-3.7798832676107366e-06,0.0,1.8784784416677478e-06,8.718278415246245e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
3,2026-05-18 22:00,18.52,18.04021031318383,6.21697751019492e-06,9.671529727390072e-06,-3.454552217195152e-06,0.0,1.6714799946258208e-06,7.6128305595279605e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
4,2026-05-18 22:00,17.54,17.567830503249013,1.5331311098841874e-05,1.4943319944132906e-05,3.8799115470896766e-07,0.0,2.2885408157041797e-06,1.2267559955192436e-05,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
5,2026-05-18 22:00,18.39,17.880698504699794,7.007761234592065e-06,1.1202111586218266e-05,-4.194350351626201e-06,0.0,1.9398568147646277e-06,8.875035598217347e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
6,2026-05-18 22:00,17.82,17.52674810040707,1.1846206430137368e-05,1.5519583295034782e-05,-3.6733768648974147e-06,0.0,2.430847403631282e-06,1.2701516718167209e-05,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
7,2026-05-18 22:00,18.44,17.863537720673005,6.69236002364384e-06,1.138057507449271e-05,-4.68821505084887e-06,0.0,2.000577968482192e-06,8.992777932774225e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
8,2026-05-18 22:00,18.13,17.583194101933053,8.90387996015693e-06,1.4733355076260611e-05,-5.829475116103681e-06,0.0,2.3243624675585666e-06,1.2021773435465754e-05,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
9,2026-05-18 22:00,18.51,17.884666376211165,6.27450249483805e-06,1.1161247683459836e-05,-4.886745188621786e-06,0.0,1.964519209917445e-06,8.8095093003061e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
10,2026-05-18 22:00,18.41,17.70656683453851,6.8798551772359464e-06,1.3150811795113407e-05,-6.27095661787746e-06,0.0,2.034680005813125e-06,1.072891261606399e-05,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
11,2026-05-18 22:00,18.64,17.934454678096287,5.566462610842765e-06,1.0660987277579857e-05,-5.094524666737092e-06,0.0,1.8468799136171841e-06,8.426888190726383e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
12,2026-05-18 22:00,18.34,17.843408161622193,7.338026846665776e-06,1.1593539116706322e-05,-4.255512270040547e-06,0.0,1.667758447408923e-06,9.538561496061109e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
13,2026-05-18 22:00,18.7,17.993258807970914,5.267193779732685e-06,1.0098939561907665e-05,-4.83174578217498e-06,0.0,1.6857442365033692e-06,8.025976152168004e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
14,2026-05-18 22:00,18.31,17.940569826369757,7.543611194462038e-06,1.0601110607312952e-05,-3.057499412850914e-06,0.0,1.3416246972424627e-06,8.872266736834198e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
15,2026-05-18 22:00,18.73,18.041852803700802,5.123648126330262e-06,9.656909798333977e-06,-4.533261672003715e-06,0.0,1.5284021716714705e-06,7.741288453426217e-06,3.872191732362909e-07,0.23516129032258065,0.05530083246618107
16,2026-05-19 21:00,16.33,16.239940123954703,4.672822628258809e-05,5.0769542134779636e-05,-4.041315852191546e-06,3.2557331719268045e-09,3.8581644350321196e-05,1.181352134712754e-05,3.711207041589765e-07,0.9074193548387096,0.8234098855359
17,2026-05-19 21:00,16.54,16.449300548635275,3.851051232643315e-05,4.1865769388163904e-05,-3.355257061730752e-06,2.3986091416485645e-09,3.27155659099424e-05,8.77668416492088e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
18,2026-05-19 21:00,16.67,16.602923398487157,3.4164832537057076e-05,3.634209312624738e-05,-2.177260589190305e-06,1.9504748113159764e-09,2.8275793515900313e-05,7.693228431376771e-06,3.711207041589765e-07,0.9074193548387096,0.8234098855359
19,2026-05-19 21:00,16.19,16.185181277381613,5.315930523720363e-05,5.339576159998937e-05,-2.3645636278573918e-07,2.505047921157978e-09,4.085686312992905e-05,1.2165272717980195e-05,3.711207041589765e-07,0.9074193548387096,0.8234098855359
