time,lat,lon,zen,az,actual_mag
2026-05-19 21:00,33.426769,126.530349,30,330,16.33
2026-05-19 21:00,33.426769,126.530349,15,330,16.54
2026-05-19 21:00,33.426769,126.530349,0,330,16.67
2026-05-19 21:00,33.426769,126.530349,30,0,16.19
2026-05-19 21:00,33.426769,126.530349,15,0,16.52
2026-05-19 21:00,33.426769,126.530349,30,30,16.32
2026-05-19 21:00,33.426769,126.530349,15,30,16.45
2026-05-19 21:00,33.426769,126.530349,30,60,16.54
2026-05-19 21:00,33.426769,126.530349,15,60,16.57
2026-05-19 21:00,33.426769,126.530349,30,90,16.65
2026-05-19 21:00,33.426769,126.530349,15,90,16.76
2026-05-19 21:00,33.426769,126.530349,30,120,16.82
2026-05-19 21:00,33.426769,126.530349,15,120,16.92
